brand,primaryCategories,colors,name,prices,prices.currency,prices.offer,sizes
Steve Madden,Shoes,Silver Satin,Steve Madden Women's Wren Silver Satin Pump - 8M,21.99,USD,Online only: 82% off,9.5M
Genuine Grip,Shoes,Pewter,Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper,60,USD,Online only,7.5
Sugar,Shoes,Cognac Burnished Fabric,Sugar Womens Nectar Faux Suede Stacked Heel Booties,22.45,USD,Online only: 63% off,10 Medium BM
Steve Madden,Shoes,Floral,Steve Madden Womens Abby Ankle Booties,64.97,USD,Online only,6.5 Medium BM
Genuine Grip,Shoes,Black,Women's Genuine Grip Footwear Slip-Resistant Slip-on Zipper,53.1,USD,Online only: 24% off,5.5
Skechers Work,Shoes,Navy/Charcoal,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,102.64,USD,Online only: 13% off,7.5
Mozo,Shoes,Brown,"MOZO Women's Fresco Platform Wedge Buckle Shoe Heels, 2 Colors",74.99,USD,Online only,6.5
SAS,Shoes,BONE,"Women's SAS, Sunburst Sandal",126.95,USD,Online only,7.5 WW
SAS,Shoes,BONE,"Women's SAS, Sunburst Sandal",126.95,USD,Online only,10.5 N
SAS,Shoes,WHITE,"Women's SAS, Sunburst Sandal",126.95,USD,Online only,6.5 WW
Mozo,Shoes,Brown,"MOZO Women's Fresco Platform Wedge Buckle Shoe Heels, 2 Colors",74.99,USD,Online only,8.5
Mozo,Shoes,Brown,"MOZO Women's Fresco Platform Wedge Buckle Shoe Heels, 2 Colors",74.99,USD,Online only,9.5
SAS,Shoes,BONE,"Women's SAS, Sunburst Sandal",126.95,USD,Online only,10.5 W
Not Just a Pump,Shoes,Denim Blue,Ogden Women's Slip On Chunky High Heel Pointed Toe Pump Heels Shoes,24.99,USD,Online only,6.5
Qupidnbsp,Shoes,Black,Qupid Chester 120 Womens Shoes Studded Criss Cross Strappy Heel Black Suede,32.95,USD,Online only,7
